system:index,Ave_Wet,CLC_STATE,Den_ID,Fire_Cat,Prec_Tree,dist2build,used,.geo
00000000000000000194,-0.295006,2120,FP061,D,3,123.64544355913758,0.0,"{""type"":""Point"",""coordinates"":[-80.57592672445332,25.59244253814028]}"
000000000000000001b3,-0.249473,2120,FP061,D,1,690.5987791900142,0.0,"{""type"":""Point"",""coordinates"":[-80.58372961838137,25.58732804943421]}"
000000000000000001bf,-0.287085,2120,FP061,D,3,1051.2714584138942,0.0,"{""type"":""Point"",""coordinates"":[-80.57534870483309,25.558732686893375]}"
000000000000000001c2,-0.223031,2120,FP061,D,0,1821.8211725399713,0.0,"{""type"":""Point"",""coordinates"":[-80.58045699534873,25.553435671606767]}"
00000000000000000170,-0.305405,7000,FP061,D,14,662.7847411572501,0.0,"{""type"":""Point"",""coordinates"":[-80.57574616018364,25.587578543960163]}"
000000000000000001c7,-1.475896,1821,FP061,U,37,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.53862884592031,25.544255254472215]}"
0000000000000000016e,-1.101264,1830,FP061,U,22,1.2064551748480077,0.0,"{""type"":""Point"",""coordinates"":[-80.50928711192756,25.59451121999259]}"
00000000000000000175,-0.355778,1830,FP061,U,28,37.86685052988651,0.0,"{""type"":""Point"",""coordinates"":[-80.54180610530076,25.614303587376078]}"
00000000000000000176,-0.355778,1830,FP061,U,17,28.282404616030437,0.0,"{""type"":""Point"",""coordinates"":[-80.53676944311665,25.61529177739328]}"
0000000000000000017f,-0.97155,1830,FP061,U,13,4.868460582682712,0.0,"{""type"":""Point"",""coordinates"":[-80.52436498909627,25.5841034953465]}"
00000000000000000185,-0.777721,1830,FP061,U,28,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.53646868522743,25.611234222855945]}"
00000000000000000188,-1.106298,1830,FP061,U,25,72.05838222880405,0.0,"{""type"":""Point"",""coordinates"":[-80.50830272739819,25.57291600743955]}"
000000000000000001a5,-1.389958,1830,FP061,U,28,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.53332243317935,25.551858642422403]}"
000000000000000001ba,-1.389958,1830,FP061,U,29,18.69743848943938,0.0,"{""type"":""Point"",""coordinates"":[-80.53702719035698,25.55088874184006]}"
